DadoBrutoInt_ComSinal;DadoReal
100157501913;373,1157701946795
99178618264;369,4691444337368
98335051365;366,3266128487885
97420079126;362,9180756434798
96455413000;359,3244142830372
95602702566;356,14782037585974
94615605823;352,4705984555185
93693274509;349,03464655950665
92798041650;345,69964427500963
91773726427;341,8837727122009
90876592493;338,5416883714497
89915058407;334,95969476923347
88907704168;331,2070077955723
88004544888;327,84247729182243
86977384712;324,0160074532032
86012615952;320,42196375131607
85072903372;316,92126159369946
84013907975;312,97619631513953
83072162797;309,46792213991284
82069950208;305,73438930511475
81024028930;301,83802891522646
80072491816;298,2932769358158
79005834454;294,31966861337423
77996934164;290,5612221509218
77010105961;286,8850006200373
75914387766;282,8031322583556
74926227162;279,12194714695215
73883221353;275,23644772544503
72800941473;271,2046409882605
71807071470;267,5021867081523
70709690134;263,4141226634383
69666246322;259,5269915536046
68642460815;255,7130933366716
67518545532;251,5261826366186
66493156183;247,70630964264274
65418873662;243,70429538935423
64307263447;239,56322463974357
63273468434;235,71203810721636
62143865908;231,5039407759905
61060907162;227,4696050658822
59993952803;223,49489034339786
58837758037;219,1877291984856
57773318626;215,2223833873868
56668066082;211,10499680787325
55532467386;206,87456200271845
54470772505;202,91944036260247
53324284636;198,6484402269125
52219699130;194,53353855758905
51127253896;190,4638629257679
49951523219;186,08392484113574
48855091655;181,99939897283912
47720142195;177,77138276025653
46556472937;173,43637696281075
45458933415;169,34772362932563
44287188313;164,98263296857476
43156885908;160,7719283849001
42040446249;156,61286655440927
40851205206;152,18259843438864
39730654805;148,00822289660573
38573663208;143,69809332489967
37389519378;139,28681380301714
36263032164;135,09032191336155
35070681772;130,6484705656767
33917685997;126,35322659090161
32779982036;122,11494906246662
31580114255;117,6450932584703
30442576999;113,40743675455451
29273020986;109,05050108581781
28077973958;104,59860398620367
26931841339;100,32892725989223
25725603558;95,8353413566947
24552189434;91,46403310447931
23391171392;87,13890385627747
22176432388;82,61364842951298
21019369923;78,30325485393405
19837008023;73,89861353859305
18635700006;69,42339243739843
17481524999;65,12375548109412
16275885923;60,632399927824736
15099402890;56,24965909868479
13932240873;51,90164176002145
12714834786;47,36645067483187
11545236859;43,0093588642776
10351120394;38,560928381979465
9139023808;34,04551672935486
7968485651;29,68492228910327
6754204334;25,161371879279613
5566986103;20,738639321178198
4389526603;16,35226086899638
3170627930;11,81150946766138
1999257730;7,447815425693989
809918115;3,017180096358061
-394520611;-1,4697038047015667
-1564731556;-5,829079285264015
-2777044986;-10,345298744738102
-3967914870;-14,781634770333767
-5151538605;-19,190976787358522
-6371928824;-23,737284630537033
-7548956955;-28,122056107968092
-8739812970;-32,55834046751261
-9942238126;-37,03772323578596
-11113323032;-41,400354474782944
-12320710224;-45,898222267627716
-13507120133;-50,3179435916245
-14685898312;-54,7092345058918
-15896796142;-59,220180444419384
-17069014478;-63,58703403919935
-18254234913;-68,00232422724366
-19449650069;-72,4555927105248
-20615697180;-76,79945670068264
-21813534256;-81,26174753904343
-22991392465;-85,64961129799485
-24161699057;-90,00934309139848
-25360869662;-94,47660171240568
-26525336462;-98,81457858532667
-27701971526;-103,19788577407598
-28886862484;-107,61194856464863
-30043086055;-111,91921701654792
-31226997417;-116,32963052764535
-32388833647;-120,65780776366591
-33540715641;-124,94890258088708
-34718246211;-129,3355457894504
-35862684648;-133,59891119599342
-37019653540;-137,90895618498325
-38186324104;-142,25514271855354
-39327984982;-146,50816091150045
-40497452125;-150,86476551368833
-41646841872;-155,14657598733902
-42786639281;-159,39265221729875
-43949687010;-163,7253426387906
-45080152505;-167,93665478006005
-46221034339;-172,1867708079517
-47367221021;-176,45664893463254
-48483456789;-180,61495121195912
-49623559945;-184,86216643825173
-50741652979;-189,02738757058978
-51850516888;-193,15822753310204
-52984218378;-197,38159469515085
-54085568489;-201,4844435788691
-55199022581;-205,63238330557942
-56320502270;-209,8102207109332
-57414841829;-213,886953253299
-58535023107;-218,05995370075107
-59631436814;-222,14441304653883
-60715968667;-226,18460903689265
-61823232121;-230,30948683992028
-62894638364;-234,3007861226797
-63976827488;-238,3322547674179
-65065567579;-242,38812766596675
-66124430764;-246,33270041644573
-67210595427;-250,3789790980518
-68272776107;-254,33591048046947
-69324257375;-258,2529834471643
-70401118591;-262,264604087919
-71438750555;-266,1300843767822
-72487212219;-270,0359084419906
-73543186866;-273,96972054988146
-74569063676;-277,7914094775915
